id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
90919.19,2.3174515,argus,ssl,no,11764.916,123819.89,169.94048,87.21968,61903390.0,928553.56,9.896164,10.1144495,1332.0347,44.355213,4964.7827,471.36713,112.68985,884642500.0,1001029000.0,121.075356,0.038264506,0.017222825,0.02105831,169.91475,121.5951,0.16921942,-6566.4233,9.2908535,1.0699531,5.670258,4.8261733,4.369067,7.914469,0.018350028,0.017631609,0.08685454,8.220642,8.396458,0.014788157,0.5999679,0.18384099,-0.028367622,Analysis,-0.1541087
89296.43,2.1663556,ax.25,snmp,no,21675.107,116608.23,166.83116,80.25891,65562460.0,663036.6,4.8185854,4.5042195,1016.96716,-18.467709,6628.974,319.00812,114.33962,767093760.0,991645900.0,110.90003,0.042354427,0.01827699,0.020618502,175.3407,110.62593,0.18586999,-8257.084,9.223695,1.2004164,6.8521004,4.888148,4.0149307,7.567863,0.013258515,0.020793622,0.037727155,8.467289,8.211349,0.011474121,0.63108146,0.0960495,0.042619936,Analysis,-0.21350431
87178.445,1.8974036,3pc,ssl,CON,29126.025,111248.555,168.39458,67.70383,96001330.0,304313.1,2.006893,8.901683,1540.871,97.69612,10373.494,947.48114,104.20841,1034253250.0,1007491140.0,130.56105,0.040126875,0.01590047,0.016886111,180.48488,139.02908,0.14862327,-15274.981,8.654534,1.1613052,5.436075,4.8920364,4.758131,7.4318175,0.01517305,0.008024893,0.07074543,8.195191,7.9148917,0.008886643,0.6344655,-0.024545413,-0.048025757,Analysis,-0.1768177
88436.805,3.155651,3pc,ssl,no,10062.872,98552.61,168.73483,78.83295,77895096.0,487117.16,2.9335487,14.5701685,251.80286,-32.07835,965.93536,793.0436,128.69058,985333000.0,1064896260.0,105.20694,0.044313442,0.019249871,0.018534714,148.6381,90.219696,0.27611437,-4102.345,8.783042,1.2176682,7.3110585,5.9093103,4.6405287,7.311305,0.014585059,0.009155365,0.2211596,8.250774,7.211533,-0.005754333,0.6273066,0.16322225,-0.16315478,Analysis,-0.27674285
92873.27,2.5744238,3pc,snmp,no,20315.494,108091.055,171.73648,86.41954,90569690.0,442014.12,1.6126589,10.125398,443.02954,25.385857,4637.8335,372.28125,127.42454,788140200.0,1038433660.0,115.46006,0.053842004,0.01733333,0.018240944,174.23611,103.32999,0.16800748,-12016.45,8.446322,1.0547677,6.390101,4.5702434,4.3538637,6.68629,0.021753836,0.017886687,0.01283499,8.588702,8.992442,0.00564434,0.6663051,0.16306993,-0.022706721,Analysis,-0.24291301
88671.7,2.7704146,3pc,ssl,no,19698.258,119756.61,162.82022,81.62858,73934190.0,683957.1,3.9377515,8.976344,770.72876,142.78772,10411.772,426.34146,109.6799,829758340.0,1063844600.0,120.54367,0.03573797,0.014735666,0.020122277,143.58592,114.52637,0.23103797,-9911.594,9.293699,1.2019498,6.5779667,4.2457438,4.605552,7.7280602,0.022766242,0.0012805187,0.1164584,8.752406,8.110081,0.0021716703,0.6896119,0.07442631,-0.07279783,Analysis,-0.2730709
85755.8,2.3075864,compaq-peer,ssl,no,26805.01,116702.06,169.83192,81.78525,69284730.0,639048.4,8.177814,8.827856,1283.9758,59.97558,5230.9463,484.64026,112.915886,873286900.0,986226050.0,120.01378,0.03356371,0.01813061,0.022832222,154.9876,113.24672,0.23282714,-6240.979,8.825264,1.1876065,6.4525228,4.746655,4.8403044,8.1940365,0.016792776,0.00917095,0.0770731,8.237386,9.0591755,-0.0030712856,0.64921933,0.06193258,-0.16621807,Analysis,-0.1362817
86713.055,2.7149496,3pc,ssl,no,-768.75134,105597.32,180.86395,85.3463,96812070.0,410513.34,2.4320045,8.578137,535.4585,116.098236,9957.145,677.0155,111.5467,858231100.0,914415600.0,125.546196,0.03696297,0.0179143,0.02235283,192.69408,141.89154,0.124023,-6885.192,9.043434,1.0387588,5.6287646,5.006106,4.171621,7.5664062,0.029827638,0.013465741,0.0808115,7.9037013,7.5163574,0.0060399324,0.6246862,0.08849619,-0.25297484,Analysis,-0.16780302
83645.09,1.772831,arp,ssl,no,23409.088,117928.24,157.91295,69.73396,70004320.0,707592.5,12.1318035,11.6670265,1111.6152,84.71065,9539.473,324.33588,118.25338,1085483100.0,1162867700.0,103.26586,0.052191686,0.0152698485,0.025817547,173.21695,139.13606,0.23267987,-5823.638,8.654036,1.1512773,5.7895246,5.109337,3.7884064,6.435978,0.016209455,0.0065706163,0.10143834,7.449179,8.67791,0.01410987,0.6013809,0.12069624,-0.1576336,Analysis,-0.12134184
87036.42,1.1490504,3pc,ssl,no,20286.842,126259.24,173.38698,72.31594,81215160.0,428621.75,8.327811,0.7674116,251.50983,-24.286274,5124.3125,-80.05047,131.67879,909583500.0,899390700.0,105.8874,0.038072605,0.025159635,0.015679361,159.70451,145.41203,0.20148048,-4695.214,9.60621,1.3094752,5.3790183,5.8800073,4.0824904,7.3291936,0.025911119,0.0013064197,0.07710436,7.805832,8.177094,-0.0019390414,0.6293087,0.06517424,-0.20715615,Analysis,-0.28191262
84877.71,1.8378469,3pc,ssl,no,27376.729,118197.58,174.54968,73.697945,83467810.0,527133.25,7.0890594,10.906938,1209.6979,27.945137,2171.4668,681.1403,101.23952,782905660.0,1030438800.0,121.77588,0.045472935,0.018598706,0.020005362,158.32776,142.4184,0.26058438,-9688.132,10.357555,1.2613993,6.0750427,4.81484,4.3936887,6.89459,0.013381792,-0.003209731,0.1293892,7.5107894,7.992089,0.0035207777,0.58586943,0.07281619,-0.010494124,Analysis,-0.2133258
86086.5,2.75252,3pc,ssh,no,9271.604,105457.29,167.74199,88.94699,70794810.0,581044.9,4.34974,16.27562,808.6991,23.08817,4479.1885,685.9284,114.32124,892951940.0,1010319300.0,107.64391,0.03664655,0.012750986,0.020750359,142.58029,108.2483,0.26911086,-7459.5874,9.938586,1.1583531,6.784892,5.4239273,4.868909,8.759634,0.017267697,0.017257411,0.0946795,8.157683,7.813297,0.0035853267,0.64556694,0.08908286,-0.14008357,Analysis,-0.34322998
88422.75,2.0583723,bbn-rcc,ssl,no,11477.944,107119.78,170.56291,73.875496,82181480.0,724079.1,0.9882968,2.1907816,1108.3431,0.28445742,7832.387,887.11584,117.40161,820501300.0,998742400.0,115.32096,0.04630935,0.01981092,0.019174293,157.63608,134.87926,0.15443191,-2073.097,9.200919,1.2706856,6.1519184,5.198095,4.0327716,7.586556,0.023768295,0.006373403,0.10181985,8.28952,8.061625,0.0021056694,0.62167686,0.050064147,-0.0145052895,Analysis,-0.15493783
93822.26,2.4423888,any,ssl,CON,22107.818,99136.47,159.38387,80.147064,70867050.0,903458.9,-0.6745886,14.01063,1629.8871,41.434963,5438.317,809.9388,119.09484,799239500.0,961686800.0,113.85526,0.039586265,0.019109966,0.020066425,150.12259,113.3438,0.17479378,-9097.547,9.608738,1.2142692,6.0695424,5.061859,4.1558175,7.9243093,0.011084983,0.014918954,0.063418545,8.431807,7.861463,0.0151970005,0.6285554,0.06762931,-0.10672372,Analysis,-0.17449924
89325.87,2.7736266,3pc,ssl,no,1185.5309,127627.875,163.26134,74.34921,70987640.0,619745.94,5.500076,8.389754,916.11774,-107.2059,8137.8813,920.923,128.60376,962304600.0,916683970.0,112.38404,0.04816853,0.022571692,0.018883308,189.05032,150.3234,0.20323941,-1298.4523,9.499119,1.1190354,5.8705034,5.9367175,4.2312865,8.089158,0.019321484,0.0125597,0.08853,8.059123,8.0269375,0.0059229033,0.6361331,0.0926431,-0.12561214,Analysis,-0.20901313
89854.72,2.3241262,a/n,ssl,no,13214.6,115551.38,171.3473,88.48092,77574310.0,624211.6,0.8048578,9.748853,1018.2671,73.061584,8005.1445,604.60547,107.61531,914659140.0,1050626400.0,117.86758,0.041761477,0.01712197,0.025046065,152.14252,115.53119,0.1578607,-1878.1481,9.096962,1.2131191,6.6166787,5.280512,3.7852736,8.197159,0.010950709,0.0065565812,0.1262384,7.6042285,8.597261,0.007210253,0.66105956,0.081913136,-0.22355545,Analysis,-0.24987814
89183.414,1.3718276,3pc,ssl,CON,4845.515,114110.414,164.65686,70.28991,96153210.0,347067.66,7.5450015,10.444469,510.5075,41.26021,8902.524,526.31104,118.05727,769233660.0,936714430.0,121.52762,0.04421575,0.0172891,0.016020624,157.55066,141.1827,0.1957442,-8226.697,9.3658,1.3316615,6.7014647,4.9261007,4.6498647,7.821023,0.025781494,-0.001575964,0.06457373,7.7233906,6.9853024,-0.0010622143,0.6970467,0.002511479,-0.041075725,Analysis,-0.21653748
86692.42,2.3873496,chaos,ssl,no,6406.9976,102317.39,160.55354,86.68368,79000536.0,748247.9,2.9560008,9.963189,776.8524,83.81094,9557.346,332.38184,125.217445,864742600.0,973406200.0,114.84554,0.052710507,0.019691577,0.01982645,133.52773,147.7586,0.16337761,-6109.4263,9.4987135,1.2690426,5.794068,4.479946,4.555304,8.959711,0.01912028,0.006568046,0.16959691,8.887075,8.183265,0.008432389,0.63892674,0.04016849,-0.1062687,Analysis,-0.2438556
86910.0,2.2090948,3pc,ssl,no,16147.431,118736.97,164.13753,73.65325,94829800.0,578785.5,7.3591156,5.4374084,1203.1122,87.202675,8380.757,539.00104,108.45926,835725760.0,1024057500.0,105.1882,0.033789944,0.012956209,0.022527413,174.38329,91.11226,0.27568477,-7531.231,9.715632,1.2321714,6.5528784,4.4080024,3.9134037,7.322896,0.024592055,0.012182045,0.06293439,8.464569,7.64629,0.014292121,0.6433402,0.17963621,-0.12294405,Analysis,-0.18531674
